source,title,url,budget_min,budget_max,currency,budget_usd_min,budget_usd_max,bids,posted,skills,type
freelancer,¡Closer de Ventas Buscado para Inmobiliaria!,https://www.freelancer.com/projects/sales/Closer-Ventas-Buscado-para-Inmobiliaria,1500,3000,EUR,1729,3457,0,2026-08-05 7:32,"Sales, Real Estate, Customer Service, Sales Promotion, Account Management, Sales Management, Lead Generation, Business Development",fixed
freelancer,3D Animated Video for Emergency Traffic System,https://www.freelancer.com/projects/3d-animation/Animated-Video-for-Emergency-Traffic,1500,12500,INR,16,131,4,2026-08-05 7:58,"3D Rendering, Animation, After Effects, 3D Modelling, 3D Animation, Motion Graphics, Video Production, Visualization, Unreal Engine, Blender",fixed
freelancer,40 Romantic Voice Samples,https://www.freelancer.com/projects/audio-editing/Romantic-Voice-Samples,30,250,AUD,21,176,13,2026-08-05 7:52,"Audio Services, Sound Design, Video Editing, Audio Production, Audio Editing, Voice Assistance Devices, Voice Over, Audio Engineering, Sound Effects, Voice Synthesis",fixed
freelancer,AI image generation for Listing,https://www.freelancer.com/projects/graphic-design/image-generation-for-Listing,750,1250,INR,8,13,23,2026-08-05 7:52,"Graphic Design, Photoshop, Illustrator, Illustration, Artificial Intelligence, AI Graphic Design, AI Art Creation, AI Content Creation, AI Design, AI Image Generation",hourly
freelancer,AI Upgrade for Product Site,https://www.freelancer.com/projects/ai-chatbot-development/Upgrade-for-Product-Site,30,250,USD,30,250,19,2026-08-05 8:18,"PHP, Website Design, SEO, HTML, AI Chatbot Development, AI Content Creation, AI Development, AI Integration",fixed
freelancer,AI/GPU Infrastructure Specialist Required,https://www.freelancer.com/projects/ai-hw-sw/GPU-Infrastructure-Specialist-Required-40627240,12500,37500,INR,131,393,5,2026-08-05 7:56,"Electrical Engineering, GPGPU, Machine Learning (ML), Artificial Intelligence, Docker, AI (Artificial Intelligence) HW/SW, Kubernetes, Deep Learning, DevOps",fixed
freelancer,Aktuelle Fotos von einem Küstenabschnitt in Krk (Kroatien),https://www.freelancer.com/projects/photography/Aktuelle-Fotos-von-einem-stenabschnitt,30,250,EUR,35,288,0,2026-08-05 7:47,"Photography, GPS",fixed
freelancer,Amazon & Flipkart Listing Executive,https://www.freelancer.com/projects/amazon/Amazon-Flipkart-Listing-Executive,3000,5000,INR,31,52,5,2026-08-05 8:05,"SEO, Data Entry, Excel, Product Descriptions, eBay, Content Writing, Keyword Research, Amazon",fixed
freelancer,Amharic to English Legal Translation - 05/08/2026 03:31 EDT,https://www.freelancer.com/projects/amharic/Amharic-English-Legal-Translation-EDT,10,30,USD,10,30,0,2026-08-05 7:45,"English (US) Translator, Amharic",fixed
freelancer,Android App Testing & Honest User Feedback (USA Only),https://www.freelancer.com/projects/user-experience-research/Android-App-Testing-Honest-User,4500,5000,INR,47,52,5,2026-08-05 7:37,"Mobile App Development, Android, Testing / QA, Usability Testing, Mobile App Testing, Mobile Development, App Usability Analysis, Android SDK, Android UI Design, User Experience Research",fixed
freelancer,ArcGIS Topographic Hydrography Map Analysis,https://www.freelancer.com/projects/arcgis/ArcGIS-Topographic-Hydrography-Map,30,250,USD,30,250,30,2026-08-05 7:39,"JavaScript, Python, Cartography & Maps, Geolocation, 3D Modelling, Geospatial, Geographical Information System (GIS), Data Visualization, ArcMap, ArcGIS",fixed
freelancer,Assistance Dog International Certificate Design,https://www.freelancer.com/projects/adobe-illustrator/Assistance-Dog-International-Certificate,8,30,EUR,9,35,82,2026-08-05 7:34,"Graphic Design, Logo Design, Photoshop, Illustrator, Branding, Typography, Adobe Illustrator, Print Design",fixed
freelancer,Cartoon 2D Kids Animation,https://www.freelancer.com/projects/2d-animation/Cartoon-Kids-Animation,600,1500,INR,6,16,4,2026-08-05 7:56,"Animation, After Effects, Caricature & Cartoons, 3D Animation, 2D Animation, 2D Game Art, 2D Animation Explainer Video, Character Design",fixed
arbeitnow,Chemistry Expert (Remote - Germany),https://www.arbeitnow.com/jobs/companies/anyone-ai/chemistry-expert-remote-germany-berlin-496143,0,0,,0,0,0,2026-08-05 0:00,STEM,contract
freelancer,Copertina libro stile semi-realistico,https://www.freelancer.com/projects/book-cover-design/Copertina-libro-stile-semi-realistico,30,250,EUR,35,288,50,2026-08-05 7:34,"Graphic Design, Photoshop, Illustrator, Illustration, Adobe Illustrator, Digital Art, Book Cover Design, Adobe Photoshop",fixed
freelancer,Custom Sales CRM Development,https://www.freelancer.com/projects/crm/Custom-Sales-CRM-Development,1500,12500,INR,16,131,44,2026-08-05 7:58,"PHP, JavaScript, Website Design, Django, CRM, HTML, Laravel, Web Development, Sales Management, API Development",fixed
freelancer,Cute Chibi Profile Picture Needed,https://www.freelancer.com/projects/2d-animation/Cute-Chibi-Profile-Picture-Needed,30,250,USD,30,250,24,2026-08-05 7:55,"Photoshop, Illustrator, Illustration, Caricature & Cartoons, 2D Animation, Art Consulting, 2D Drawing, Character Design",fixed
freelancer,Desain Logo Minimalis Profesional,https://www.freelancer.com/projects/adobe-illustrator/Desain-Logo-Minimalis-Profesional-40627294,250,750,USD,250,750,6,2026-08-05 8:14,"Graphic Design, Logo Design, Photoshop, Illustrator, Adobe Illustrator, Adobe Creative Cloud, Adobe Photoshop, Vector Design",fixed
freelancer,Divorce Legal Advice Needed,https://www.freelancer.com/projects/employment-law/Divorce-Legal-Advice-Needed,1250,2500,INR,13,26,1,2026-08-05 7:52,"Legal, Legal Research, Employment Law, Legal Writing, Family Law, Legal Consultation",hourly
freelancer,Essential Oil Blend Marketing Content,https://www.freelancer.com/projects/marketing/Essential-Oil-Blend-Marketing-Content,600,1500,INR,6,16,7,2026-08-05 7:57,"Copywriting, Marketing, Branding, Ghostwriting, Product Descriptions, Content Writing, Social Media Marketing, SEO Writing",fixed
freelancer,"Female vocals for a metal version of the track ""Magic"", by Olivia Newton-John ",https://www.freelancer.com/projects/music-production/Female-vocals-for-metal-version,30,250,AUD,21,176,5,2026-08-05 8:19,"Audio Services, Voice Talent, Audio Engineering, Music Production",fixed
arbeitnow,Full-Stack Developer - AI Trainer (Germany),https://www.arbeitnow.com/jobs/companies/anyone-ai/full-stack-developer-ai-trainer-germany-berlin-278001,0,0,,0,0,0,2026-08-05 0:00,Software Engineering,contract
arbeitnow,Full-Stack Developer (Germany),https://www.arbeitnow.com/jobs/companies/anyone-ai/full-stack-developer-germany-berlin-455281,0,0,,0,0,0,2026-08-05 0:00,Software Engineering,contract
freelancer,Futuristic Verinum UI Redesign,https://www.freelancer.com/projects/adobe-xd/Futuristic-Verinum-Redesign,30,250,USD,30,250,31,2026-08-05 7:58,"Graphic Design, Logo Design, Photoshop, Illustrator, UX / User Experience, UI / User Interface, Figma, Adobe XD",fixed
freelancer,Gorapudio Village Land Acquisition Videos,https://www.freelancer.com/projects/adobe-premiere-pro/Gorapudio-Village-Land-Acquisition,600,1500,INR,6,16,5,2026-08-05 8:17,"Video Services, Animation, Illustration, Video Production, Video Editing, Adobe Premiere Pro, Video Processing, Video Post-editing",fixed
arbeitnow,Information Security Engineer (CISO track),https://www.arbeitnow.co.uk/jobs/companies/tangible/information-security-engineer-ciso-track-london-493529,0,0,,0,0,0,2026-08-05 5:26,"Remote, Quality Assurance, Inspection",contract
freelancer,Input Data PDF ke Excel,https://www.freelancer.com/projects/pdf/Input-Data-PDF-Excel,250,750,USD,250,750,11,2026-08-05 7:59,"Data Processing, Data Entry, Excel, PDF, Web Search, Microsoft Office, Typing, Data Management",fixed
